farm_region,plant_id,DestinationName,plant_lat,plant_long
EAST,1450,WAWA-MDVA,39.89920640079,-75.4670828113
EAST,1451,LEIBY'S DAIRY-DFA,-76.02252714633,40.75867619438
EAST,1452,BIAZZO DAIRY-PARADISE DIST,40.83683628849,-74.01550670215
EAST,1568,BIAZZO-MILL ROAD DAIRY,40.83683628849,-74.01550670215
EAST,1569,ELM CITY CHEESE-OV,41.34227908192,-72.8953393736
EAST,1572,OASIS DAIRY,40.02105588418,-76.16775932699
EAST,1573,MOUNTAINSIDE DAIRY-MILL ROAD DAIRY,42.31378407159,-74.5533316135
EAST,1575,EAGLE DRIVE HOLDINGS-OV,42.92178137275,-76.61862621534
EAST,1580,BUNKER HILL DAIRY-ANDERSON FOODS,40.57419444364,-81.7815729601
EAST,1581,GREAT LAKES FRANKLINVILLE-DFA TA,42.35459768429,-78.44374646031
EAST,1582,GREAT LAKES FRANKLINVILLE-DFA QA,42.35459768429,-78.44374646031
EAST,1587,CHOBANI TA NORWICH,42.685023,-75.323642
EAST,1588,CHOBANI NEW BERLIN-NORWICH,42.685023,-75.323642
EAST,1589,CHOBANI QA NORWICH,42.685023,-75.323642
EAST,1590,BIAZZO-SUSANS GOURMET,40.83683628849,-74.01550670215
EAST,1592,SUNNY SKY PRODUCTS,40.25052298802,-75.68964961651
EAST,1593,BYRNE CORTLANDVILLE-OV,42.56321780866,-76.22998226872
EAST,1594,CUMBERLAND DAIRY-OV,39.48375467164,-75.11936056171
EAST,1595,LANCO-A2A2 MILK,39.71669078217,-78.185414358
EAST,9001,CHOBANI ALLENTOWN,40.5702282870275,-75.6082740246016
UMW,1003,LOL MELROSE PLANT,,
UMW,1004,LOL KIEL PLANT,,
UMW,1014,AGROPUR-LESUEUR,,
UMW,1015,VALLEY QUEEN CHEESE FACTORY,,
UMW,1016,AGROPUR-WEYAUWEGA,,
UMW,1019,AGROPUR-LAKE NORDEN,,
UMW,1021,UNIVERSITY OF MINNESOTA,,
UMW,1023,AGROPUR-HULL,,
UMW,1027,BEL BRANDS USA INC,,
UMW,1028,WISCONSIN WHEY-UMW,,
UMW,1030,AMPI BLAIR,,
UMW,1033,PRAIRIE FARMS-LUANA/MONONA,,
UMW,1035,EASTSIDE JERSEY-SIOUX FALLS,,
UMW,1037,EASTSIDE JERSEY DAIRY-WOODBURY,,
UMW,1038,FIRST DISTRICT ASSN.,,
UMW,1041,AMPI PAYNESVILLE,,
UMW,1042,BONGARDS-PERHAM,,
UMW,1047,FFUSA-APPLETON,,
UMW,1050,FFUSA-RICHLAND CENTER,,
UMW,1051,FFUSA-CLAYTON,,
UMW,1052,FFUSA-MARSHFIELD,,
UMW,1053,FFUSA-LANCASTER,,
UMW,1054,FFUSA-REEDSBURG,,
UMW,1055,DFA-ZUMBROTA,,
UMW,1057,SAPUTO CHEESE,,
UMW,1058,GRASSLAND DAIRY PRODUCTS,,
UMW,1114,CENTRAL DAIRY,,
UMW,1116,PRAIRIE FARMS-GRANITE CITY,,
UMW,1276,DFA-KEMPS-MINNEAPOLIS,,
UMW,1309,SARTORI-ANTIGO,,
UMW,1321,AMPI-JIM FALLS,,
UMW,1322,EASTSIDE JERSEY DAIRY-OFALLON,,
UMW,1340,SARTORI-PLYMOUTH,,
UMW,1347,DFA-KEMPS FARGO,,
UMW,1353,FFUSA-ZUMBROTA,,
UMW,1357,AMPI-CLAYTON,,
UMW,1364,AMPI-NEW ULM,,
UMW,1374,FFUSA-ST PAUL BEVERAGE,,
UMW,1375,FFUSA-JIM FALLS,,
UMW,1383,FFUSA-KEMPS-FARMINGTON,,
